group_id,name,user_name
1,Starfall Alliance,john.smith
2,Echo Squadron,emily.johnson
3,Shadowrunners,michael.williams
4,Crystal Guardians,emma.brown
5,Dragon's Roar,joshua.jones
6,Avalon Knights,madison.davis
7,Silent Serpents,daniel.miller
8,Infinity Blades,olivia.wilson
9,Phantom Legacy,james.moore
10,Phoenix Requiem,ava.taylor
11,Obsidian Circle,ethan.anderson
12,Silvermoon Sentinels,sophia.thomas
13,Eclipse Rangers,alexander.jackson
14,Chrono Crusaders,isabella.white
15,Stormwatch Vanguard,mason.harris
16,Darkstar Saviors,mia.martin
17,Genesis Vanguard,william.thompson
18,Hydra Corps,amelia.garcia
19,Spectre Squad,benjamin.martinez
20,Neon Templars,chloe.robinson