member_user_name,group_id
john.smith,1
john.smith,2
john.smith,3
john.smith,4
john.smith,5
emily.johnson,2
emily.johnson,6
emily.johnson,7
emily.johnson,8
michael.williams,3
michael.williams,9
michael.williams,10
emma.brown,4
emma.brown,11
emma.brown,12
joshua.jones,5
joshua.jones,13
joshua.jones,14
madison.davis,6
madison.davis,15
madison.davis,16
daniel.miller,7
daniel.miller,17
daniel.miller,18
olivia.wilson,8
olivia.wilson,19
olivia.wilson,20
james.moore,9
james.moore,1
james.moore,2
ava.taylor,10
ava.taylor,3
ava.taylor,4
ethan.anderson,11
ethan.anderson,5
ethan.anderson,6
sophia.thomas,12
sophia.thomas,7
sophia.thomas,8
alexander.jackson,13
alexander.jackson,9
alexander.jackson,10
isabella.white,14
isabella.white,11
isabella.white,12
mason.harris,15
mason.harris,13
mason.harris,14
mia.martin,16
mia.martin,15
william.thompson,17
william.thompson,18
amelia.garcia,18
amelia.garcia,19
amelia.garcia,20
benjamin.martinez,19
benjamin.martinez,1
benjamin.martinez,2
chloe.robinson,20
chloe.robinson,3
chloe.robinson,4
john.smith,6
john.smith,7
john.smith,8
john.smith,9
emily.johnson,3
emily.johnson,4
emily.johnson,5
michael.williams,8
michael.williams,11
michael.williams,12
emma.brown,1
emma.brown,2
emma.brown,3
emma.brown,5
joshua.jones,6
joshua.jones,7
joshua.jones,8
joshua.jones,9
joshua.jones,10
madison.davis,10
madison.davis,11
madison.davis,12
madison.davis,13
madison.davis,14
daniel.miller,13
daniel.miller,14
daniel.miller,15
daniel.miller,16
olivia.wilson,15
olivia.wilson,16
olivia.wilson,17
olivia.wilson,18
james.moore,18
james.moore,19
james.moore,20
ava.taylor,20
ava.taylor,1
ava.taylor,2
ethan.anderson,3
ethan.anderson,4
ethan.anderson,7
sophia.thomas,5
sophia.thomas,6
sophia.thomas,9
alexander.jackson,8
alexander.jackson,11
alexander.jackson,12
isabella.white,10
isabella.white,13
mason.harris,16
mason.harris,17
mia.martin,17
mia.martin,18
mia.martin,19
william.thompson,19
william.thompson,20
william.thompson,1
amelia.garcia,1
amelia.garcia,2
amelia.garcia,3
benjamin.martinez,20
benjamin.martinez,3
benjamin.martinez,4
chloe.robinson,2
chloe.robinson,5
chloe.robinson,6
elijah.clark,3
elijah.clark,4
elijah.clark,5
elijah.clark,6
elijah.clark,7
charlotte.rodriguez,5
charlotte.rodriguez,6
charlotte.rodriguez,7
charlotte.rodriguez,8
charlotte.rodriguez,9
carter.lewis,7
carter.lewis,8
carter.lewis,9
carter.lewis,10
carter.lewis,11
grace.lee,9
grace.lee,10
grace.lee,11
grace.lee,12
grace.lee,13
henry.walker,11
henry.walker,12
henry.walker,13
henry.walker,14
henry.walker,15
avery.hall,13
avery.hall,14
avery.hall,15
avery.hall,16
avery.hall,17
scarlett.young,15
scarlett.young,16
scarlett.young,17
scarlett.young,18
scarlett.young,19
sebastian.allen,17
sebastian.allen,18
sebastian.allen,19
sebastian.allen,20
sebastian.allen,1
lily.hernandez,19
lily.hernandez,20
lily.hernandez,1
lily.hernandez,2
lily.hernandez,3
gabriel.king,1
gabriel.king,2
gabriel.king,3
gabriel.king,4
gabriel.king,5
zoe.scott,3
zoe.scott,4
zoe.scott,5
zoe.scott,6
zoe.scott,7
jackson.green,5
jackson.green,6
jackson.green,7
jackson.green,8
jackson.green,9
madelyn.adams,7
madelyn.adams,8
madelyn.adams,9
madelyn.adams,10
madelyn.adams,11
nathan.baker,9
nathan.baker,10
nathan.baker,11
nathan.baker,12
nathan.baker,13
hannah.gonzalez,11
hannah.gonzalez,12
hannah.gonzalez,13
hannah.gonzalez,14
hannah.gonzalez,15
david.carter,13
david.carter,14
david.carter,15
david.carter,16
david.carter,17
addison.perez,15
addison.perez,16
addison.perez,17
addison.perez,18
addison.perez,19
joseph.evans,17
joseph.evans,18
joseph.evans,19
joseph.evans,20
joseph.evans,1
aria.stewart,19
aria.stewart,20
aria.stewart,1
aria.stewart,2
aria.stewart,3
jameson.flores,2
jameson.flores,3
jameson.flores,4
jameson.flores,5
jameson.flores,6
aubrey.collins,5
aubrey.collins,6
aubrey.collins,7
aubrey.collins,8
aubrey.collins,9
wyatt.nguyen,7
wyatt.nguyen,8
wyatt.nguyen,9
wyatt.nguyen,10
wyatt.nguyen,11
ella.hill,9
ella.hill,10
ella.hill,11
ella.hill,12
ella.hill,13
julian.rivera,11
julian.rivera,12
julian.rivera,13
julian.rivera,14
julian.rivera,15
samantha.campbell,13
samantha.campbell,14
samantha.campbell,15
samantha.campbell,16
samantha.campbell,17
luke.mitchell,15
luke.mitchell,16
luke.mitchell,17
luke.mitchell,18
luke.mitchell,19
anna.perez,17
anna.perez,18
anna.perez,19
anna.perez,20
anna.perez,1
lincoln.roberts,19
lincoln.roberts,20
lincoln.roberts,1
lincoln.roberts,2
lincoln.roberts,3
ariana.turner,1
ariana.turner,2
ariana.turner,3
ariana.turner,4
ariana.turner,5
oliver.phillips,3
oliver.phillips,4
oliver.phillips,5
oliver.phillips,6
oliver.phillips,7
brooklyn.sanchez,5
brooklyn.sanchez,6
brooklyn.sanchez,7
brooklyn.sanchez,8
brooklyn.sanchez,9
colton.long,7
colton.long,8
colton.long,9
colton.long,10
colton.long,11
ethan.parker,9
ethan.parker,10
ethan.parker,11
ethan.parker,12
ethan.parker,13
mia.collins,11
mia.collins,12
mia.collins,13
mia.collins,14
mia.collins,15
lucas.martinez,13
lucas.martinez,14
lucas.martinez,15
lucas.martinez,16
lucas.martinez,17
isabelle.nelson,15
isabelle.nelson,16
isabelle.nelson,17
isabelle.nelson,18
isabelle.nelson,19
ryan.cooper,17
ryan.cooper,18
ryan.cooper,19
ryan.cooper,20
ryan.cooper,1
emily.ward,19
emily.ward,20
emily.ward,1
emily.ward,2
emily.ward,3
mason.roberts,2
mason.roberts,3
mason.roberts,4
mason.roberts,5
mason.roberts,6
amelia.reed,5
amelia.reed,6
amelia.reed,7
amelia.reed,8
amelia.reed,9
jack.howard,7
jack.howard,8
jack.howard,9
jack.howard,10
jack.howard,11
natalie.king,9
natalie.king,10
natalie.king,11
natalie.king,12
natalie.king,13
jacob.richards,11
jacob.richards,12
jacob.richards,13
jacob.richards,14
jacob.richards,15
mia.myers,13
mia.myers,14
mia.myers,15
mia.myers,16
mia.myers,17
ethan.morris,15
ethan.morris,16
ethan.morris,17
ethan.morris,18
ethan.morris,19
aubrey.wood,17
aubrey.wood,18
aubrey.wood,19
aubrey.wood,20
aubrey.wood,1
samuel.russell,19
samuel.russell,20
samuel.russell,1
samuel.russell,2
samuel.russell,3
isabella.watson,1
isabella.watson,2
isabella.watson,3
isabella.watson,4
isabella.watson,5
chloe.sullivan,3
chloe.sullivan,4
chloe.sullivan,5
chloe.sullivan,6
chloe.sullivan,7
james.cooper,5
james.cooper,6
james.cooper,7
james.cooper,8
james.cooper,9
olivia.peterson,7
olivia.peterson,8
olivia.peterson,9
olivia.peterson,10
olivia.peterson,11
liam.ross,9
liam.ross,10
liam.ross,11
liam.ross,12
liam.ross,13
ava.hughes,11
ava.hughes,12
ava.hughes,13
ava.hughes,14
ava.hughes,15
sophia.wood,13
sophia.wood,14
sophia.wood,15
sophia.wood,16
sophia.wood,17
logan.jenkins,15
logan.jenkins,16
logan.jenkins,17
logan.jenkins,18
logan.jenkins,19
zoey.bailey,17
zoey.bailey,18
zoey.bailey,19
zoey.bailey,20
zoey.bailey,1
nathan.lee,19
nathan.lee,20
nathan.lee,1
nathan.lee,2
nathan.lee,3
william.harris,1
william.harris,2
william.harris,3
william.harris,4
william.harris,5
ava.cooper,3
ava.cooper,4
ava.cooper,5
ava.cooper,6
ava.cooper,7
daniel.ramirez,5
daniel.ramirez,6
daniel.ramirez,7
daniel.ramirez,8
daniel.ramirez,9
ella.nelson,7
ella.nelson,8
ella.nelson,9
ella.nelson,10
ella.nelson,11
dylan.mitchell,9
dylan.mitchell,10
dylan.mitchell,11
dylan.mitchell,12
dylan.mitchell,13
grace.jenkins,11
grace.jenkins,12
grace.jenkins,13
grace.jenkins,14
grace.jenkins,15
jacob.carter,13
jacob.carter,14
jacob.carter,15
jacob.carter,16
jacob.carter,17
isabella.phillips,15
isabella.phillips,16
isabella.phillips,17
isabella.phillips,18
isabella.phillips,19
ava.brooks,17
ava.brooks,18
ava.brooks,19
ava.brooks,20
ava.brooks,1
oliver.cooper,19
oliver.cooper,20
oliver.cooper,1
oliver.cooper,2
oliver.cooper,3
mia.hughes,1
mia.hughes,2
mia.hughes,3
mia.hughes,4
mia.hughes,5
lucas.roberts,3
lucas.roberts,4
lucas.roberts,5
lucas.roberts,6
lucas.roberts,7
amelia.cook,5
amelia.cook,6
amelia.cook,7
amelia.cook,8
amelia.cook,9
ethan.foster,7
ethan.foster,8
ethan.foster,9
ethan.foster,10
ethan.foster,11
ava.richards,9
ava.richards,10
ava.richards,11
ava.richards,12
ava.richards,13
emma.perry,11
emma.perry,12
emma.perry,13
emma.perry,14
emma.perry,15
liam.jenkins,13
liam.jenkins,14
liam.jenkins,15
liam.jenkins,16
liam.jenkins,17
olivia.bailey,15
olivia.bailey,16
olivia.bailey,17
olivia.bailey,18
olivia.bailey,19
noah.kelly,17
noah.kelly,18
noah.kelly,19
noah.kelly,20
noah.kelly,1
isabella.ward,19
isabella.ward,20
isabella.ward,1
isabella.ward,2
isabella.ward,3
jacob.ross,1
jacob.ross,2
jacob.ross,3
jacob.ross,4
jacob.ross,5
ethan.murphy,5
ethan.murphy,6
ethan.murphy,7
ethan.murphy,8
ethan.murphy,9
ava.nelson,7
ava.nelson,8
ava.nelson,9
ava.nelson,10
ava.nelson,11
oliver.watson,9
oliver.watson,10
oliver.watson,11
oliver.watson,12
oliver.watson,13
emma.sullivan,11
emma.sullivan,12
emma.sullivan,13
emma.sullivan,14
emma.sullivan,15
liam.watson,13
liam.watson,14
liam.watson,15
liam.watson,16
liam.watson,17
olivia.cooper,15
olivia.cooper,16
olivia.cooper,17
olivia.cooper,18
olivia.cooper,19
noah.parker,17
noah.parker,18
noah.parker,19
noah.parker,20
noah.parker,1
jacob.bailey,19
jacob.bailey,20
jacob.bailey,1
jacob.bailey,2
jacob.bailey,3
ethan.ramirez,1
ethan.ramirez,2
ethan.ramirez,3
ethan.ramirez,4
ethan.ramirez,5